Env,Gen,Rep,Yr
NG_18,10,1,1112.8
NG_18,10,2,1033.76
NG_18,10,3,1176.24
NG_18,11,1,900.64
NG_18,11,2,796.64
NG_18,11,3,894.4
NG_18,12,1,694.72
NG_18,12,2,803.92
NG_18,12,3,750.36
NG_18,13,1,668.72
NG_18,13,2,684.32
NG_18,13,3,873.6
NG_18,14,1,702.52
NG_18,14,2,768.56
NG_18,14,3,673.4
NG_18,15,1,868.4
NG_18,15,2,763.36
NG_18,15,3,672.88
NG_18,16,1,578.76
NG_18,16,2,695.24
NG_18,16,3,770.64
NG_18,17,1,687.44
NG_18,17,2,583.44
NG_18,17,3,852.8
NG_18,18,1,782.6
NG_18,18,2,760.24
NG_18,18,3,666.64
NG_18,19,1,498.16
NG_18,19,2,1003.08
NG_18,19,3,705.64
NG_18,20,1,773.24
NG_18,20,2,1059.24
NG_18,20,3,745.16
NG_18,21,1,744.64
NG_18,21,2,755.56
NG_18,21,3,1041.56
NG_18,22,1,626.6
NG_18,22,2,613.6
NG_18,22,3,952.235
NG_18,23,1,983.135
NG_18,23,2,885.8
NG_18,23,3,1084.075
NG_18,24,1,763.745
NG_18,24,2,805.975
NG_18,24,3,697.825
NG_18,25,1,897.13
NG_18,25,2,877.045
NG_18,25,3,882.195
NG_18,26,1,1133.515
NG_18,26,2,759.11
NG_18,26,3,862.42
NG_18,27,1,791.265
NG_18,27,2,838.345
NG_18,27,3,809.99
NG_18,28,1,616.455
NG_18,28,2,924.425
NG_18,28,3,693.705
NG_18,29,1,733.72
NG_18,29,2,779.48
NG_18,29,3,650.52
NG_18,30,1,735.28
NG_18,30,2,718.64
NG_18,30,3,722.28
NG_19,1,1,553.4
NG_19,1,2,705.6
NG_19,1,3,629.5
NG_19,2,1,720.3
NG_19,2,2,764.4
NG_19,2,3,742.4
NG_19,3,1,744.5
NG_19,3,2,706.7
NG_19,3,3,725.6
NG_19,4,1,849.5
NG_19,4,2,609
NG_19,4,3,729.2
NG_19,5,1,625.8
NG_19,5,2,777
NG_19,5,3,701.4
NG_19,6,1,955.5
NG_19,6,2,667.8
NG_19,6,3,811.7
NG_19,7,1,945
NG_19,7,2,570.2
NG_19,7,3,757.6
NG_19,8,1,681.5
NG_19,8,2,668.9
NG_19,8,3,675.2
NG_19,9,1,738.2
NG_19,9,2,643.7
NG_19,9,3,690.9
NG_19,10,1,819
NG_19,10,2,945
NG_19,10,3,882
NG_19,11,1,740.3
NG_19,11,2,678.3
NG_19,11,3,709.3
NG_19,12,1,809.6
NG_19,12,2,742.4
NG_19,12,3,776
NG_19,13,1,624.8
NG_19,13,2,735
NG_19,13,3,679.9
NG_19,14,1,805.4
NG_19,14,2,676.2
NG_19,14,3,740.8
NG_19,15,1,850.5
NG_19,15,2,723.5
NG_19,15,3,787
NG_19,16,1,621.6
NG_19,16,2,692
NG_19,16,3,656.8
NG_19,17,1,497.7
NG_19,17,2,508.2
NG_19,17,3,503
NG_19,18,1,1123.5
NG_19,18,2,902
NG_19,18,3,1012.7
NG_19,19,1,735
NG_19,19,2,689.9
NG_19,19,3,712.4
NG_19,20,1,740.3
NG_19,20,2,663.6
NG_19,20,3,701.9
NG_19,21,1,690.9
NG_19,21,2,865.2
NG_19,21,3,778.1
NG_19,22,1,618.5
NG_19,22,2,769.7
NG_19,22,3,694.1
NG_19,23,1,350.7
NG_19,23,2,827.4
NG_19,23,3,589.1
NG_19,24,1,951.3
NG_19,24,2,770.7
NG_19,24,3,861
NG_19,25,1,693
NG_19,25,2,887.3
NG_19,25,3,790.1
NG_19,26,1,844.2
NG_19,26,2,690.9
NG_19,26,3,767.6
NG_19,27,1,674.1
NG_19,27,2,672
NG_19,27,3,673.1
NG_19,28,1,819
NG_19,28,2,936.6
NG_19,28,3,877.8
NG_19,29,1,993.72
NG_19,29,2,694.512
NG_19,29,3,844.168
NG_19,30,1,982.8
NG_19,30,2,593.008
NG_19,30,3,787.904
NG_20,1,1,450.6
NG_20,1,2,613.8
NG_20,1,3,495.5
NG_20,2,1,648.3
NG_20,2,2,601.7
NG_20,2,3,645.9
NG_20,3,1,606.2
NG_20,3,2,614.8
NG_20,3,3,571.1
NG_20,4,1,764.5
NG_20,4,2,479.4
NG_20,4,3,634.4
NG_20,5,1,509.6
NG_20,5,2,676
NG_20,5,3,552.1
NG_20,6,1,860
NG_20,6,2,525.6
NG_20,6,3,690
NG_20,7,1,769.5
NG_20,7,2,496
NG_20,7,3,582.6
NG_20,8,1,613.3
NG_20,8,2,526.5
NG_20,8,3,573.9
NG_20,9,1,601.1
NG_20,9,2,560
NG_20,9,3,531.3
NG_20,10,1,737.1
NG_20,10,2,743.9
NG_20,10,3,749.7
NG_20,11,1,602.8
NG_20,11,2,590.1
NG_20,11,3,545.5
NG_20,12,1,728.6
NG_20,12,2,584.3
NG_20,12,3,659.6
NG_20,13,1,508.7
NG_20,13,2,639.5
NG_20,13,3,522.9
NG_20,14,1,724.8
NG_20,14,2,532.3
NG_20,14,3,629.7
NG_20,15,1,692.6
NG_20,15,2,629.4
NG_20,15,3,605.2
NG_20,16,1,559.4
NG_20,16,2,544.6
NG_20,16,3,558.3
NG_20,17,1,391.8
NG_20,17,2,442.2
NG_20,17,3,386.8
NG_20,18,1,977.4
NG_20,18,2,709.9
NG_20,18,3,860.8
NG_20,19,1,578.6
NG_20,19,2,600.2
NG_20,19,3,547.9
NG_20,20,1,602.8
NG_20,20,2,577.3
NG_20,20,3,539.8
NG_20,21,1,621.8
NG_20,21,2,681.1
NG_20,21,3,661.4
NG_20,22,1,503.6
NG_20,22,2,669.6
NG_20,22,3,533.8
NG_20,23,1,305.1
NG_20,23,2,651.3
NG_20,23,3,500.7
NG_20,24,1,748.8
NG_20,24,2,670.5
NG_20,24,3,662.2
NG_20,25,1,602.9
NG_20,25,2,698.4
NG_20,25,3,671.6
NG_20,26,1,664.5
NG_20,26,2,601.1
NG_20,26,3,590.3
NG_20,27,1,586.4
NG_20,27,2,529
NG_20,27,3,572.1
NG_20,28,1,644.7
NG_20,28,2,814.8
NG_20,28,3,754.5
NG_20,29,1,894.4
NG_20,29,2,546.624
NG_20,29,3,717.6
NG_20,30,1,800.28
NG_20,30,2,515.84
NG_20,30,3,605.904
NS_20,1,1,537.54
NS_20,1,2,699.72
NS_20,1,3,723.18
NS_20,2,1,825.18
NS_20,2,2,607.92
NS_20,2,3,928.2
NS_20,3,1,918
NS_20,3,2,661.98
NS_20,3,3,717.06
NS_20,4,1,795.6
NS_20,4,2,719.1
NS_20,4,3,786.42
NS_20,5,1,606.9
NS_20,5,2,782.34
NS_20,5,3,826.2
NS_20,6,1,603.84
NS_20,6,2,831.3
NS_20,6,3,772.14
NS_20,7,1,760.92
NS_20,7,2,523.26
NS_20,7,3,719.1
NS_20,8,1,671.16
NS_20,8,2,600.78
NS_20,8,3,340.68
NS_20,9,1,924.12
NS_20,9,2,673.2
NS_20,9,3,820.08
NS_20,10,1,654.84
NS_20,10,2,483.48
NS_20,10,3,1091.4
NS_20,11,1,714
NS_20,11,2,704.82
NS_20,11,3,1005.72
NS_20,12,1,1012.86
NS_20,12,2,761.94
NS_20,12,3,802.74
NS_20,13,1,1091.4
NS_20,13,2,860.88
NS_20,13,3,672.18
NS_20,14,1,915.96
NS_20,14,2,985.32
NS_20,14,3,1057.74
NS_20,15,1,1224
NS_20,15,2,867
NS_20,15,3,1000.62
NS_20,16,1,526.32
NS_20,16,2,875.68
NS_20,16,3,762.32
NS_20,17,1,819.52
NS_20,17,2,763.36
NS_20,17,3,878.8
NS_20,18,1,684.32
NS_20,18,2,665.6
NS_20,18,3,503.36
NS_20,19,1,893.36
NS_20,19,2,683.28
NS_20,19,3,827.84
NS_20,20,1,811.2
NS_20,20,2,698.88
NS_20,20,3,757.12
NS_20,21,1,699.92
NS_20,21,2,603.2
NS_20,21,3,769.6
NS_20,22,1,661.44
NS_20,22,2,564.72
NS_20,22,3,662.48
NS_20,23,1,637.52
NS_20,23,2,936
NS_20,23,3,671.84
NS_20,24,1,735.28
NS_20,24,2,728
NS_20,24,3,669.76
NS_20,25,1,716.56
NS_20,25,2,685.36
NS_20,25,3,889.2
NS_20,26,1,739.44
NS_20,26,2,569.92
NS_20,26,3,624
NS_20,27,1,657.28
NS_20,27,2,856.96
NS_20,27,3,762.32
NS_20,28,1,819.62
NS_20,28,2,709.41
NS_20,28,3,894.52
NS_20,29,1,627.994
NS_20,29,2,864.552
NS_20,29,3,803.026
NS_20,30,1,791.357
NS_20,30,2,544.19
NS_20,30,3,747.864
SZ_17,1,1,405
SZ_17,1,2,287
SZ_17,1,3,346
SZ_17,2,1,255
SZ_17,2,2,420
SZ_17,2,3,338
SZ_17,3,1,183
SZ_17,3,2,188
SZ_17,3,3,186
SZ_17,4,1,190
SZ_17,4,2,383
SZ_17,4,3,287
SZ_17,5,1,506
SZ_17,5,2,340
SZ_17,5,3,423
SZ_17,6,1,225
SZ_17,6,2,384
SZ_17,6,3,305
SZ_17,7,1,217
SZ_17,7,2,377
SZ_17,7,3,297
SZ_17,8,1,205
SZ_17,8,2,342
SZ_17,8,3,274
SZ_17,9,1,303
SZ_17,9,2,529
SZ_17,9,3,416
SZ_17,10,1,557
SZ_17,10,2,271
SZ_17,10,3,414
SZ_17,11,1,277
SZ_17,11,2,331
SZ_17,11,3,304
SZ_17,12,1,286
SZ_17,12,2,330
SZ_17,12,3,308
SZ_17,13,1,245
SZ_17,13,2,421
SZ_17,13,3,333
SZ_17,14,1,310
SZ_17,14,2,468
SZ_17,14,3,389
SZ_17,15,1,394
SZ_17,15,2,267
SZ_17,15,3,331
SZ_17,16,1,475
SZ_17,16,2,335
SZ_17,16,3,405
SZ_17,17,1,311
SZ_17,17,2,414
SZ_17,17,3,363
SZ_17,18,1,372
